,N�  EXPEDIENTE,FECHA,HORA,CALLE,N�MERO,DISTRITO,TIPO ACCIDENTE,ESTADO METEREOL�GICO,TIPO VEH�CULO,TIPO PERSONA,RANGO DE EDAD,SEXO,LESIVIDAD*,Unnamed: 13,Country,City,FixedAddress,FullAddress,latitude,longitude
10,2019S002373,08/01/2019,20:55,CALL. PUERTO DE LA CRUZ VERDE,49,ARGANZUELA,Atropello a persona,Despejado,Bicicleta,Peat�n,DE 35 A 39 A�OS,Hombre,7.0,,Spain,Madrid,CALLE PUERTO DE LA CRUZ VERDE,CALLE PUERTO DE LA CRUZ VERDE Madrid Spain,40.3493693,-3.7333776
11,2019S001738,08/01/2019,13:03,C/ MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE,-,FUENCARRAL-EL PARDO,Ca�da,Despejado,Bicicleta,Conductor,DE 25 A 29 A�OS,Hombre,2.0,,Spain,Madrid,CALLE MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE,CALLE MONASTERIO DE ARLANZA-AV. SANTUARIO DE VALVERDE Madrid Spain,0.0,0.0
12,2019S001943,09/01/2019,14:50,CALL. ANTONIO DE LEYVA,84,CARABANCHEL,Colisi�n lateral,Despejado,Bicicleta,Conductor,DE 30 A 34 A�OS,Hombre,7.0,,Spain,Madrid,CALLE ANTONIO DE LEYVA,CALLE ANTONIO DE LEYVA Madrid Spain,0.0,0.0
13,2019S001678,09/01/2019,12:50,CALL. GRAN VIA,66,CENTRO,Alcance,Despejado,Bicicleta,Conductor,DE 15 A 17 A�OS,Hombre,,,Spain,Madrid,CALLE GRAN VIA,CALLE GRAN VIA Madrid Spain,40.5015577,-3.2581925
14,2019S002882,10/01/2019,20:30,PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO,-,ARGANZUELA,Ca�da,Despejado,Bicicleta,Conductor,DE 50 A 54 A�OS,Hombre,2.0,,Spain,Madrid,PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS,PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS Madrid Spain,0.0,0.0
15,2019S003283,11/01/2019,16:00,CALL. GRAN VIA / CALL. SAN BERNARDO,-,CENTRO,Colisi�n fronto-lateral,Despejado,Bicicleta,Conductor,DE 25 A 29 A�OS,Hombre,14.0,,Spain,Madrid,CALLE GRAN VIA,CALLE GRAN VIA Madrid Spain,40.5015577,-3.2581925
16,2019S002594,12/01/2019,22:45,POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA,-,LATINA,Choque contra obst�culo fijo,Despejado,Bicicleta,Conductor,DE 25 A 29 A�OS,Hombre,6.0,,Spain,Madrid,POLIGONO ALUCHE-AVENIDA DE LOS POBLADOS,POLIGONO ALUCHE-AVENIDA DE LOS POBLADOS Madrid Spain,0.0,0.0
17,2019S006584,12/01/2019,22:25,CALL. GENERAL RICARDOS / GTA. VALLE DE ORO,-,CARABANCHEL,Colisi�n fronto-lateral,Despejado,Bicicleta,Conductor,DE 18 A 20 A�OS,Hombre,7.0,,Spain,Madrid,CALLE GENERAL RICARDOS,CALLE GENERAL RICARDOS Madrid Spain,0.0,0.0
18,2019S002591,12/01/2019,22:15,AVDA. POBLADOS / CALL. SECOYA,-,CARABANCHEL,Choque contra obst�culo fijo,Despejado,Bicicleta,Conductor,DE 25 A 29 A�OS,Hombre,2.0,,Spain,Madrid,AVENIDA POBLADOS,AVENIDA POBLADOS Madrid Spain,40.3893823,-3.7661549
19,2019S003364,12/01/2019,13:03,AVDA. ENSANCHE DE VALLECAS,44,VILLA DE VALLECAS,Colisi�n fronto-lateral,Se desconoce,Bicicleta,Conductor,DE 15 A 17 A�OS,Mujer,7.0,,Spain,Madrid,AVENIDA ENSANCHE DE VALLECAS,AVENIDA ENSANCHE DE VALLECAS Madrid Spain,40.3608885,-3.5943427
