;N�  EXPEDIENTE;FECHA;HORA;CALLE;N�MERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOL�GICO;TIPO VEH�CULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;Unnamed: 13;Country;City;FixedAddress;FullAddress;latitude;longitude
14;2019S002882;10/01/2019;20:30;PASEO. JUAN ANTONIO VALLEJO-NAJERA BOTAS / CALL. GASOMETRO;-;ARGANZUELA;Ca�da;Despejado;Bicicleta;Conductor;DE 50 A 54 A�OS;Hombre;2.0;;Spain;Madrid;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS Madrid Spain;40.41696;-3.89628
15;2019S003283;11/01/2019;16:00;CALL. GRAN VIA / CALL. SAN BERNARDO;-;CENTRO;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;14.0;;Spain;Madrid;CALLE GRAN VIA;CALLE GRAN VIA Madrid Spain;40.42069;-3.70659
16;2019S002594;12/01/2019;22:45;POLIG. ALUCHE-AVENIDA DE LOS POBLADOS / CALL. SECOYA;-;LATINA;Choque contra obst�culo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;6.0;;Spain;Madrid;POLIGONO ALUCHE-AVENIDA DE LOS POBLADOS;POLIGONO ALUCHE-AVENIDA DE LOS POBLADOS Madrid Spain;40.38943;-3.76627
17;2019S006584;12/01/2019;22:25;CALL. GENERAL RICARDOS / GTA. VALLE DE ORO;-;CARABANCHEL;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;7.0;;Spain;Madrid;CALLE GENERAL RICARDOS;CALLE GENERAL RICARDOS Madrid Spain;40.39261;-3.72525
18;2019S002591;12/01/2019;22:15;AVDA. POBLADOS / CALL. SECOYA;-;CARABANCHEL;Choque contra obst�culo fijo;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;2.0;;Spain;Madrid;AVENIDA POBLADOS;AVENIDA POBLADOS Madrid Spain;40.3734;-3.73087
19;2019S003364;12/01/2019;13:03;AVDA. ENSANCHE DE VALLECAS;44;VILLA DE VALLECAS;Colisi�n fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 15 A 17 A�OS;Mujer;7.0;;Spain;Madrid;AVENIDA ENSANCHE DE VALLECAS;AVENIDA ENSANCHE DE VALLECAS Madrid Spain;40.36327;-3.59877
20;2019S002704;12/01/2019;13:00;CALL. SANCHIDRIAN; 13A;LATINA;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 A�OS;Hombre;14.0;;Spain;Madrid;CALLE SANCHIDRIAN;CALLE SANCHIDRIAN Madrid Spain;40.3942;-3.77744
21;2019S003463;14/01/2019;22:45;CALL. MIGUEL ANGEL / PASEO. GENERAL MARTINEZ CAMPOS;-;CHAMBER�;Colisi�n fronto-lateral;;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;;;Spain;Madrid;CALLE MIGUEL ANGEL;CALLE MIGUEL ANGEL Madrid Spain;40.43547;-3.69126
22;2019S004134;14/01/2019;20:20;PASEO. EL PARDO;37;FUENCARRAL-EL PARDO;Ca�da;Despejado;Bicicleta;Conductor;DE 40 A 44 A�OS;Hombre;2.0;;Spain;Madrid;PASEO EL PARDO;PASEO EL PARDO Madrid Spain;40.52409;-3.77879
23;2019S003277;14/01/2019;16:30;CALL. SANTA GENOVEVA / PLAZA. AGUSTIN GONZALEZ;-;CIUDAD LINEAL;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 A�OS;Mujer;14.0;;Spain;Madrid;CALLE SANTA GENOVEVA;CALLE SANTA GENOVEVA Madrid Spain;40.42524;-3.64843
24;2019S002788;14/01/2019;11:10;CALL. FLORA;1;CENTRO;Ca�da;Despejado;Bicicleta;Conductor;DE 40 A 44 A�OS;Hombre;7.0;;Spain;Madrid;CALLE FLORA;CALLE FLORA Madrid Spain;40.41828;-3.70786
25;2019S003749;16/01/2019;15:20;PLAZA. CONDE DEL VALLE DE SUCHIL;3;CHAMBER�;Ca�da;Despejado;Bicicleta;Conductor;DE 55 A 59 A�OS;Mujer;7.0;;Spain;Madrid;PLAZA CONDE DEL VALLE DE SUCHIL;PLAZA CONDE DEL VALLE DE SUCHIL Madrid Spain;40.4308;-3.70703
26;2019S003306;16/01/2019;9:00;AVDA. DAROCA / CALL. NICOLAS SALMERON;-;CIUDAD LINEAL;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 A�OS;Hombre;6.0;;Spain;Madrid;AVENIDA DAROCA;AVENIDA DAROCA Madrid Spain;40.4296;-3.65462
27;2019S004601;17/01/2019;19:50;CALL. ARENAL / CALL. DONADOS;-;CENTRO;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;7.0;;Spain;Madrid;CALLE ARENAL;CALLE ARENAL Madrid Spain;40.41729;-3.70668
28;2019S004151;17/01/2019;16:15;CALL. SERRANO;141;CHAMART�N;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 A�OS;Mujer;14.0;;Spain;Madrid;CALLE SERRANO;CALLE SERRANO Madrid Spain;40.42478;-3.68797
29;2019S003662;17/01/2019;6:00;CALL. DOCE DE OCTUBRE;26;RETIRO;Choque contra obst�culo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;2.0;;Spain;Madrid;CALLE DOCE DE OCTUBRE;CALLE DOCE DE OCTUBRE Madrid Spain;40.41615;-3.67328
30;2019S004271;18/01/2019;18:05;AVDA. FERMINA SEVILLANO;42;SAN BLAS-CANILLEJAS;Colisi�n frontal;;Bicicleta;Conductor;DE 45 A 49 A�OS;Hombre;;;Spain;Madrid;AVENIDA FERMINA SEVILLANO;AVENIDA FERMINA SEVILLANO Madrid Spain;40.44632;-3.56681
31;2019S005101;18/01/2019;13:00;CALL. VILLABLANCA;11;VIC�LVARO;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 60 A 64 A�OS;Hombre;2.0;;Spain;Madrid;CALLE VILLABLANCA;CALLE VILLABLANCA Madrid Spain;40.40567;-3.59993
32;2019S004769;18/01/2019;7:55;CALL. GENOVA;2;CENTRO;Ca�da;Despejado;Bicicleta;Conductor;DE 50 A 54 A�OS;Hombre;2.0;;Spain;Madrid;CALLE GENOVA;CALLE GENOVA Madrid Spain;40.42647;-3.69337
33;2019S004528;19/01/2019;21:10;PLAZA. INDEPENDENCIA / CALL. ALCALA;-;SALAMANCA;Colisi�n fronto-lateral;Lluvia d�bil;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;6.0;;Spain;Madrid;PLAZA INDEPENDENCIA;PLAZA INDEPENDENCIA Madrid Spain;40.41993;-3.68912
34;2019S004582;19/01/2019;11:10;CTRA. EL PARDO A FUENCARRAL;0;FUENCARRAL-EL PARDO;Ca�da;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;2.0;;Spain;Madrid;CARRETERA EL PARDO A FUENCARRAL;CARRETERA EL PARDO A FUENCARRAL Madrid Spain;40.50673;-3.72426
35;2019S004939;21/01/2019;16:50;CALL. SAN ENRIQUE DE OSSO;36;HORTALEZA;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 A�OS;Hombre;2.0;;Spain;Madrid;CALLE SAN ENRIQUE DE OSSO;CALLE SAN ENRIQUE DE OSSO Madrid Spain;40.5041;-3.63855
36;2019S005062;23/01/2019;15:38;AVDA. ALBUFERA;149;PUENTE DE VALLECAS;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 A�OS;Hombre;14.0;;Spain;Madrid;AVENIDA ALBUFERA;AVENIDA ALBUFERA Madrid Spain;40.39447;-3.66191
37;2019S007634;24/01/2019;19:58;AVDA. ALBUFERA / CALL. PUERTO DE CANFRANC;-;PUENTE DE VALLECAS;Otro;Despejado;Bicicleta;Conductor;DE 30 A 34 A�OS;Hombre;14.0;;Spain;Madrid;AVENIDA ALBUFERA;AVENIDA ALBUFERA Madrid Spain;40.39447;-3.66191
38;2019S005036;24/01/2019;11:15;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;-;TETU�N;Atropello a persona;Despejado;Bicicleta;Conductor;DE 55 A 59 A�OS;Hombre;14.0;;Spain;Madrid;CALLE BRAVO MURILLO;CALLE BRAVO MURILLO Madrid Spain;40.46279;-3.69711
39;2019S005036;24/01/2019;11:15;CALL. BRAVO MURILLO / CALL. PENSAMIENTO;-;TETU�N;Atropello a persona;Despejado;Bicicleta;Peat�n;DE 55 A 59 A�OS;Mujer;7.0;;Spain;Madrid;CALLE BRAVO MURILLO;CALLE BRAVO MURILLO Madrid Spain;40.46279;-3.69711
40;2019S010907;25/01/2019;4:00;CALL. GRAN VIA;78;CENTRO;Colisi�n fronto-lateral;Se desconoce;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;5.0;;Spain;Madrid;CALLE GRAN VIA;CALLE GRAN VIA Madrid Spain;40.42069;-3.70659
41;2019S006032;26/01/2019;21:35;CALL. MARIA DE MOLINA;60;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;7.0;;Spain;Madrid;CALLE MARIA DE MOLINA;CALLE MARIA DE MOLINA Madrid Spain;40.43787;-3.68673
42;2019S006501;27/01/2019;16:15;CALL. ALCALA;44;CENTRO;Atropello a persona;Despejado;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;2.0;;Spain;Madrid;CALLE ALCALA;CALLE ALCALA Madrid Spain;40.44614;-3.613
