;N�  EXPEDIENTE;FECHA;HORA;CALLE;NUMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOL�GICO;TIPO VEH�CULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;Unnamed: 13;Country;City;FixedAddress;FullAddress;latitude;longitude
24;2019S002788;14/01/2019;11:10;CALL. FLORA;1;CENTRO;Ca�da;Despejado;Bicicleta;Conductor;DE 40 A 44 A�OS;Hombre;7.0;;Spain;Madrid;CALLE FLORA;CALLE FLORA 1, Madrid, Spain;40.41818;-3.70752
25;2019S003749;16/01/2019;15:20;PLAZA. CONDE DEL VALLE DE SUCHIL;3;CHAMBER�;Ca�da;Despejado;Bicicleta;Conductor;DE 55 A 59 A�OS;Mujer;7.0;;Spain;Madrid;PLAZA CONDE DEL VALLE DE SUCHIL;PLAZA CONDE DEL VALLE DE SUCHIL 3, Madrid, Spain;40.43031;-3.70778
26;2019S003306;16/01/2019;9:00;AVDA. DAROCA / CALL. NICOLAS SALMERON;1;CIUDAD LINEAL;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 35 A 39 A�OS;Hombre;6.0;;Spain;Madrid;AVENIDA DAROCA;AVENIDA DAROCA 1, Madrid, Spain;40.43137;-3.65904
27;2019S004601;17/01/2019;19:50;CALL. ARENAL / CALL. DONADOS;1;CENTRO;Colisi�n lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 A�OS;Hombre;7.0;;Spain;Madrid;CALLE ARENAL;CALLE ARENAL 1, Madrid, Spain;40.41677;-3.70479
28;2019S004151;17/01/2019;16:15;CALL. SERRANO;141;CHAMART�N;Alcance;Despejado;Bicicleta;Conductor;DE 45 A 49 A�OS;Mujer;14.0;;Spain;Madrid;CALLE SERRANO;CALLE SERRANO 141, Madrid, Spain;40.44434;-3.68592
29;2019S003662;17/01/2019;6:00;CALL. DOCE DE OCTUBRE;26;RETIRO;Choque contra obst�culo fijo;Despejado;Bicicleta;Conductor;DE 18 A 20 A�OS;Hombre;2.0;;Spain;Madrid;CALLE DOCE DE OCTUBRE;CALLE DOCE DE OCTUBRE 26, Madrid, Spain;40.41588;-3.67435
32;2019S004769;18/01/2019;7:55;CALL. GENOVA;2;CENTRO;Ca�da;Despejado;Bicicleta;Conductor;DE 50 A 54 A�OS;Hombre;2.0;;Spain;Madrid;CALLE GENOVA;CALLE GENOVA 2, Madrid, Spain;40.42736;-3.69554
33;2019S004528;19/01/2019;21:10;PLAZA. INDEPENDENCIA / CALL. ALCALA;1;SALAMANCA;Colisi�n fronto-lateral;Lluvia d�bil;Bicicleta;Conductor;DE 25 A 29 A�OS;Hombre;6.0;;Spain;Madrid;PLAZA INDEPENDENCIA;PLAZA INDEPENDENCIA 1, Madrid, Spain;40.4202741;-3.6891581
35;2019S004939;21/01/2019;16:50;CALL. SAN ENRIQUE DE OSSO;36;HORTALEZA;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 10 A 14 A�OS;Hombre;2.0;;Spain;Madrid;CALLE SAN ENRIQUE DE OSSO;CALLE SAN ENRIQUE DE OSSO 36, Madrid, Spain;40.50529;-3.64206
36;2019S005062;23/01/2019;15:38;AVDA. ALBUFERA;149;PUENTE DE VALLECAS;Colisi�n fronto-lateral;Despejado;Bicicleta;Conductor;DE 65 A 69 A�OS;Hombre;14.0;;Spain;Madrid;AVENIDA ALBUFERA;AVENIDA ALBUFERA 149, Madrid, Spain;40.39225;-3.65744
