;HORA;CALLE;NUMERO;LESIVIDAD*
92;10:35;CALL. PARROCO EUSEBIO CUENCA;46;5.0
93;16:50;CALL. ESPARTEROS;12;1.0
94;19:45;CALL. MELILOTO / CALL. NOPALERA;-;7.0
95;18:40;PASEO. GENERAL MARTINEZ CAMPOS / CALL. MODESTO LAFUENTE;-;7.0
96;10:25;PASEO. FERNAN NU�EZ / PASEO. VENEZUELA;-;6.0
97;8:45;GTA. SINTRA / CALL. VIA DE DUBLIN;-;7.0
98;7:30;PASEO. CASTELLANA;29;7.0
99;20:45;PASEO. PRADO;13;6.0
100;13:00;CALL. MODESTO LAFUENTE;61;7.0
101;12:30;CALL. HACIENDA DE PAVONES / CALL. BRUJAS;-;7.0
102;12:10;RONDA. ATOCHA;7;14.0
103;14:50;CALL. RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA;-;7.0
104;13:30;PASEO. MOLINO;1;3.0
105;4:00;PASEO. PRADO;48;7.0
106;23:25;PLAZA. EMPERADOR CARLOS V;1;7.0
107;20:55;CALL. PRINCESA / CALL. HILARION ESLAVA;-;7.0
108;16:05;CALL. ARROYO DE LA MEDIA LEGUA / CALL. CORREGIDOR DIEGO CABEZA DE VACA;-;7.0
109;15:45;CALL. ALFONSO XII / CALL. MONTALBAN;-;7.0
110;12:45;PASEO. CASTELLANA;92;1.0
111;11:35;RETIRO;-;5.0
112;16:15;CALL. TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS;-;7.0
113;17:00;CALL. ALBAIDA;76;6.0
114;9:30;PLAZA. CARDENAL CISNEROS / AVDA. COMPLUTENSE;-;7.0
115;21:04;CALL. PRINCIPE CARLOS / CALL. MARIA TUDOR;-;2.0
116;21:04;CALL. PRINCIPE CARLOS / CALL. MARIA TUDOR;-;2.0
117;19:25;AVDA. PARTENON;2;7.0
118;16:45;PASEO. CASTELLANA / CALL. RAIMUNDO FERNANDEZ VILLAVERDE;-;7.0
119;19:45;CALL. LOPEZ GRASS / AVDA. ALBUFERA;-;6.0
120;22:00;AVDA. PORTUGAL;1;7.0
121;19:20;PASEO. ERMITA DEL SANTO / CALL. VIA CARPETANA;-;2.0
122;17:26;AVDA. INGENIERO EMILIO HERRERA;15;7.0
123;14:58;CALL. SANTA ADELA;14;3.0
124;14:58;CALL. SANTA ADELA;14;14.0
125;21:30;PLAZA. ESPA�A / CALL. BAILEN;-;
126;21:00;CALL. ALCALDE SAINZ DE BARANDA / AUTOV. M-30;-;2.0
127;20:15;CALL. ALCOCER / AVDA. ANDALUCIA;-;
128;10:00;CALL. REGUERA DE TOMATEROS;39;6.0
129;9:10;CALLE JORGE MANRIQUE - CALLE SERRANO;-;1.0
130;19:00;CALL. DOLORES BARRANCO / CALL. NICOLAS SANCHEZ;-;7.0
131;11:55;AVDA. VICTORIA;11;
132;22:00;CALL. BRAVO MURILLO;305;2.0
133;19:45;AVDA. CIUDAD DE BARCELONA / CALL. SECO;-;2.0
134;18:35;CALL. O'DONNELL;52;14.0
135;17:30;CALL. ALMAGRO;25;7.0
136;12:30;AVDA. NICETO ALCALA ZAMORA / CALL. JULIO CASARES;-;6.0
137;1:20;CALL. LUIS DE GONGORA / CALL. GRAVINA;-;7.0
138;20:40;PASEO. LA HABANA;39;6.0
139;12:00;AVDA. MANZANARES;196;7.0
140;12:00;AVDA. MANZANARES;196;7.0
141;11:50;PQUE. MADRID RIO, +00700E;-;7.0
142;11:50;PQUE. MADRID RIO, +00700E;-;7.0
143;10:05;CALL. SUECIA / AVDA. CANILLEJAS A VICALVARO;-;7.0
144;14:25;CALL. SAN BERNARDO;43;7.0
145;0:00;CUSTA. SAN VICENTE / CALL. BAILEN;-;3.0
146;8:15;PLAZA. LEALTAD / PASEO. PRADO;-;7.0
147;18:15;CALL. SANTA CRUZ DE RETAMAR / AVDA. MIGUEL HERNANDEZ;-;7.0
148;16:30;CALLE ALACALA - PASEO DEL PRADO;-;7.0
149;15:32;AVDA. ENSANCHE DE VALLECAS / AVDA. LA GAVIA;-;7.0
150;10:30;PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA;-;14.0
151;10:30;PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA;-;7.0
152;16:30;CALL. JOSE SILVA;2;14.0
153;14:20;CALL. HULLA / AVDA. LOS ROSALES;-;3.0
154;14:15;CALL. ATOCHA;109;14.0
155;14:15;CALL. ATOCHA;109;2.0
156;14:10;PASEO. LA HABANA / CALL. SANTIAGO BERNABEU;-;7.0
157;12:00;GTA. MARQUES DE VADILLO / PNTE. TOLEDO;-;6.0
158;21:45;CALL. HORTALEZA;100;
159;21:45;CALL. HORTALEZA;100;
160;12:30;CALL. RETAMA / CALL. ACANTO;-;7.0
161;2:00;CALL. BRAVO MURILLO;120;14.0
162;22:45;CALL. HORTALEZA;18;2.0
163;22:45;CALL. HORTALEZA;18;2.0
164;12:00;CALL. PORTOMARIN;11;5.0
165;19:10;CALL. JOAQUIN COSTA, FRENTE N� 6;-;7.0
166;18:55;CALL. MANCHA;4;7.0
167;13:20;PLAZA. CIBELES / CALL. ALCALA;-;7.0
168;22:25;PLAZA. EMPERADOR CARLOS V / CALL. SANTA ISABEL;-;1.0
169;13:10;CALL. ARROYO FONTARRON;483;7.0
170;14:45;AVDA. GRAN VIA DE SAN FRANCISCO;4;7.0
171;10:55;CALL. FERNANDEZ DE LOS RIOS;33;7.0
172;20:50;AVDA. RAFAELA YBARRA;73;
173;17:50;AVDA. MIRAFLORES;48;2.0
174;17:15;CALL. ORENSE;15;7.0
175;19:50;AVDA. SECUNDINO ZUAZO / CALL. CESAR CORT BOTI;-;3.0
176;13:35;CALL. JUAN DUQUE / CALL. MORENO NIETO;-;7.0
177;10:15;GTA. ERMITA DE LA VIRGEN DE LA SOLEDAD;0;2.0
178;9:20;AVDA. MIGUEL HERNANDEZ / CALL. LEON FELIPE;-;6.0
179;12:15;PASEO. CASTELLANA;16;7.0
180;22:44;PASEO. DELICIAS;32;
181;18:00;JUNTO A HUERTA DE LA PARTIDA;-;14.0
182;16:03;RONDA. TOLEDO;10;1.0
183;15:23;CALL. ALCALA;91;7.0
184;13:50;AUTOV. M-607, +01500S;-;6.0
185;13:50;AUTOV. M-607, +01500S;-;6.0
186;16:44;IDB. PARQUE LINEAL DEL MANZANARES;0;2.0
187;14:40;AVDA. DOCTOR GARCIA TAPIA; 157A;
188;21:40;CALL. GRAN VIA / METRO. PLAZA DE ESPA�A;-;
189;10:30;CALL. ARRIAGA / CALL. FERNANDO GABRIEL;-;2.0
190;21:25;CALL. MIGUEL ARREDONDO / CALL. ALONSO CARBONELL;-;1.0
191;20:15;CALL. VICTORIA;4;2.0
192;9:48;CALL. HORTALEZA;17;7.0
193;15:15;CALL. DOBLA / AVDA. POBLADOS;-;7.0
194;12:20;AVDA. MANZANARES;200;7.0
195;12:20;AVDA. MANZANARES;200;7.0
196;10:55;CALL. DOLORES BARRANCO / CALL. JUSTA GARCIA;-;7.0
197;8:55;CALL. EXPLANADA / CALL. PEDRO JUSTO DORADO DELLMANS;-;7.0
198;13:05;PASEO. RECOLETOS / CALL. GENOVA;-;7.0
199;17:20;CALL. ALCALA;42;2.0
200;8:35;PASEO. FERNAN NU�EZ;1;14.0
201;8:35;PASEO. FERNAN NU�EZ;1;7.0
202;8:00;AVENIDA CANILLEJAS A VIC�LVARO CON GLORIETA M-40;-;6.0
203;16:00;CALL. LUCHANA;34;6.0
204;9:00;CALL. SAN GERMAN / CALL. POETA JOAN MARAGALL;-;1.0
205;18:30;PASEO. EXTREMADURA;153;7.0
206;14:15;CALL. BARCO;32;2.0
207;14:15;CALL. BARCO;32;14.0
208;12:10;CALL. POETA JOAN MARAGALL / CALL. SOR ANGELA DE LA CRUZ;-;7.0
209;16:45;CALL. MESON DE PAREDES / RONDA. VALENCIA;-;7.0
